START_DATE*,START_TIME,END_DATE*,END_TIME,CATEGORY*,TIME,START*,STOP*,MILES*,PURPOSE*
01-12-2016 12:53,12:53:00 PM,01-12-2016 13:09,01:09:00 PM,Business,12:16:00 AM,Hudson Square,Lower Manhattan,4,Meal/Entertain
01-12-2016 14:42,02:42:00 PM,01-12-2016 14:56,02:56:00 PM,Business,12:16:00 AM,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
01-12-2016 15:13,03:13:00 PM,01-12-2016 15:28,03:28:00 PM,Business,12:14:00 AM,Hudson Square,Hell's Kitchen,2.4,Customer Visit
01-12-2016 15:42,03:42:00 PM,01-12-2016 15:54,03:54:00 PM,Business,12:15:00 AM,Hell's Kitchen,Midtown,2,Errand/Supplies
01-12-2016 16:02,04:02:00 PM,01-12-2016 17:00,05:00:00 PM,Business,12:12:00 AM,New York,Queens County,15.1,Meeting
13-01-2016,01:54:00 PM,13-01-2016,02:07:00 PM,Business,12:58:00 AM,Downtown,Gulfton,11.2,Meeting
13-01-2016,03:00:00 PM,13-01-2016,03:28:00 PM,Business,12:13:00 AM,Gulfton,Downtown,11.8,Meeting
14-01-2016,04:29:00 PM,14-01-2016,05:05:00 PM,Business,12:28:00 AM,Houston,Houston,21.9,Customer Visit
14-01-2016,09:39:00 PM,14-01-2016,06:05:00 PM,Business,12:36:00 AM,Eagan Park,Jamestown Court,3.9,Errand/Supplies
15-01-2016,12:41:00 AM,15-01-2016,07:05:00 PM,Business,08:26:00 PM,Morrisville,Cary,8,Errand/Supplies
15-01-2016,11:43:00 AM,15-01-2016,08:05:00 PM,Business,06:24:00 PM,Cary,Durham,10.4,Meal/Entertain
15-01-2016,01:26:00 PM,15-01-2016,09:05:00 PM,Business,08:22:00 AM,Durham,Cary,10.4,Meal/Entertain
18-01-2016,02:55:00 PM,18-01-2016,10:05:00 PM,Business,07:39:00 AM,Cary,Cary,4.8,Meal/Entertain
18-01-2016,04:13:00 PM,18-01-2016,11:05:00 PM,Business,07:10:00 AM,Farmington Woods,Whitebridge,4.7,Meal/Entertain
19-01-2016,09:09:00 AM,19-01-2016,12:05:00 AM,Business,06:52:00 AM,Whitebridge,Lake Wellingborough,7.2,
19-01-2016,10:55:00 AM,19-01-2016,01:05:00 AM,Business,02:56:00 PM,Lake Wellingborough,Whitebridge,7.6,Temporary Site
20-01-2016,10:36:00 AM,20-01-2016,02:05:00 AM,Business,02:10:00 PM,Cary,Raleigh,17.1,Meeting
20-01-2016,11:48:00 AM,20-01-2016,03:05:00 AM,Business,03:29:00 PM,Fayetteville Street,Umstead,15.1,Meeting
20-01-2016,01:25:00 PM,20-01-2016,04:05:00 AM,Business,03:17:00 PM,Raleigh,Cary,40.2,Customer Visit
21-01-2016,02:25:00 PM,21-01-2016,05:05:00 AM,Business,02:40:00 PM,Cary,Cary,1.6,Errand/Supplies
21-01-2016,02:43:00 PM,21-01-2016,06:05:00 AM,Business,02:40:00 PM,Cary,Cary,2.4,Meal/Entertain
21-01-2016,04:01:00 PM,21-01-2016,07:05:00 AM,Business,03:22:00 PM,Cary,Cary,1,Meal/Entertain
26-01-2016,10:41:00 AM,26-01-2016,08:05:00 AM,Business,03:04:00 PM,Whitebridge,Hazelwood,2,Meal/Entertain
26-01-2016,12:33:00 PM,26-01-2016,09:05:00 AM,Business,09:24:00 PM,Hazelwood,Whitebridge,2.3,Errand/Supplies
26-01-2016,04:24:00 PM,26-01-2016,10:05:00 AM,Business,08:32:00 PM,Whitebridge,Westpark Place,1.9,Errand/Supplies
26-01-2016,05:17:00 PM,26-01-2016,11:05:00 AM,Business,05:41:00 PM,Cary,Cary,1.4,Errand/Supplies
26-01-2016,05:27:00 PM,26-01-2016,12:05:00 PM,Business,05:48:00 PM,Cary,Cary,0.5,Errand/Supplies
27-01-2016,09:24:00 AM,27-01-2016,01:05:00 PM,Business,06:38:00 PM,Cary,Cary,1.8,Meeting
27-01-2016,10:19:00 AM,27-01-2016,02:05:00 PM,Business,03:41:00 AM,Cary,Raleigh,18.7,Customer Visit
27-01-2016,12:34:00 PM,27-01-2016,03:05:00 PM,Business,03:46:00 AM,Fairmont,Meredith Townes,3.4,Customer Visit
27-01-2016,02:05:00 PM,27-01-2016,04:05:00 PM,Business,02:31:00 AM,Raleigh,Raleigh,2.7,Customer Visit
27-01-2016,02:46:00 PM,27-01-2016,05:05:00 PM,Business,02:00:00 AM,Raleigh,Cary,12.9,Customer Visit
28-01-2016,12:28:00 PM,28-01-2016,06:05:00 PM,Business,02:19:00 AM,Cary,Raleigh,19,Temporary Site
28-01-2016,03:11:00 PM,28-01-2016,07:05:00 PM,Business,05:37:00 AM,Meredith Townes,Leesville Hollow,14.7,Meeting
28-01-2016,04:21:00 PM,28-01-2016,08:05:00 PM,Business,03:54:00 AM,Raleigh,Cary,15.7,Meeting
29-01-2016,09:31:00 AM,29-01-2016,09:05:00 PM,Business,03:44:00 AM,Cary,Cary,4.6,Customer Visit
29-01-2016,10:56:00 AM,29-01-2016,10:05:00 PM,Business,11:34:00 AM,Cary,Cary,5.2,Meeting
29-01-2016,11:43:00 AM,29-01-2016,11:05:00 PM,Business,11:09:00 AM,Cary,Durham,10.4,Meeting
29-01-2016,01:24:00 PM,29-01-2016,12:05:00 AM,Business,11:22:00 AM,Durham,Cary,10.1,Meeting
29-01-2016,06:31:00 PM,29-01-2016,01:05:00 AM,Business,10:41:00 AM,Cary,Apex,5.8,Errand/Supplies
29-01-2016,09:21:00 PM,29-01-2016,02:05:00 AM,Business,06:34:00 AM,Apex,Cary,5.5,Meal/Entertain
30-01-2016,04:21:00 PM,30-01-2016,03:05:00 AM,Business,04:44:00 AM,Cary,Apex,5.7,Errand/Supplies
30-01-2016,06:09:00 PM,30-01-2016,04:05:00 AM,Business,10:44:00 AM,Apex,Cary,5.7,Customer Visit
02-01-2016 10:35,10:35:00 AM,02-01-2016 11:15,05:05:00 AM,Business,09:56:00 AM,Cary,Chapel Hill,19.4,Customer Visit
02-01-2016 12:10,12:10:00 PM,02-01-2016 12:43,06:05:00 AM,Business,06:30:00 PM,Chapel Hill,Cary,23.3,Customer Visit
02-01-2016 12:56,12:56:00 PM,02-01-2016 13:07,07:05:00 AM,Business,05:55:00 PM,Northwoods,Whitebridge,3.9,Meal/Entertain
02-02-2016 13:04,01:04:00 PM,02-02-2016 13:23,08:05:00 AM,Business,06:09:00 PM,Whitebridge,Williamsburg Manor,8.3,Meeting
02-02-2016 13:51,01:51:00 PM,02-02-2016 14:06,09:05:00 AM,Business,07:01:00 PM,Cary,Cary,6,Errand/Supplies
02-02-2016 14:38,02:38:00 PM,02-02-2016 14:42,10:05:00 AM,Business,07:14:00 PM,Cary,Cary,1.6,Errand/Supplies
02-04-2016 08:40,08:40:00 AM,02-04-2016 09:01,11:05:00 AM,Business,07:27:00 PM,Cary,Morrisville,5.2,Errand/Supplies
02-04-2016 09:37,09:37:00 AM,02-04-2016 10:09,12:05:00 PM,Business,02:25:00 AM,Morrisville,Cary,9.7,Meal/Entertain
02-04-2016 10:26,10:26:00 AM,02-04-2016 10:32,01:05:00 PM,Business,02:28:00 AM,Cary,Cary,1.6,Meal/Entertain
02-04-2016 15:59,03:59:00 PM,02-04-2016 16:03,02:05:00 PM,Business,02:39:00 AM,Cary,Cary,1.1,Meal/Entertain
02-04-2016 16:35,04:35:00 PM,02-04-2016 16:39,03:05:00 PM,Business,10:06:00 PM,Cary,Cary,1.6,Meal/Entertain
02-04-2016 18:04,06:04:00 PM,02-04-2016 18:31,04:05:00 PM,Business,10:30:00 PM,Whitebridge,Macgregor Downs,9,Meeting
02-04-2016 20:36,08:36:00 PM,02-04-2016 20:55,05:05:00 PM,Business,10:01:00 PM,Cary,Cary,7.7,Meeting
02-05-2016 11:47,11:47:00 AM,02-05-2016 12:07,06:05:00 PM,Business,08:29:00 PM,Cary,Durham,10.4,Meeting
02-05-2016 13:22,01:22:00 PM,02-05-2016 13:41,07:05:00 PM,Business,06:18:00 AM,Durham,Cary,10.4,Meeting
02-06-2016 16:20,04:20:00 PM,02-06-2016 16:53,08:05:00 PM,Business,05:43:00 AM,Cary,Raleigh,11.4,Between Offices
02-06-2016 18:57,06:57:00 PM,02-06-2016 19:21,09:05:00 PM,Business,03:45:00 AM,Raleigh,Cary,9,Errand/Supplies
02-06-2016 19:28,07:28:00 PM,02-06-2016 19:37,10:05:00 PM,Business,02:08:00 AM,Edgehill Farms,Whitebridge,3.2,Meal/Entertain
02-07-2016 16:49,04:49:00 PM,02-07-2016 17:01,11:05:00 PM,Business,02:37:00 AM,Cary,Apex,5.6,Errand/Supplies
02-07-2016 18:03,06:03:00 PM,02-07-2016 18:17,12:05:00 AM,Business,06:16:00 AM,Apex,Cary,5.7,Customer Visit
02-07-2016 18:39,06:39:00 PM,02-07-2016 18:53,01:05:00 AM,Business,06:02:00 AM,Cary,Morrisville,6.1,Temporary Site
02-07-2016 20:22,08:22:00 PM,02-07-2016 20:40,02:05:00 AM,Business,06:26:00 AM,Morrisville,Cary,6.1,Meeting
02-08-2016 12:57,12:57:00 PM,02-08-2016 13:08,03:05:00 AM,Business,05:43:00 AM,Whitebridge,Edgehill Farms,4.3,Meal/Entertain
02-08-2016 14:00,02:00:00 PM,02-08-2016 14:10,04:05:00 AM,Business,02:08:00 PM,Edgehill Farms,Whitebridge,2.7,Meal/Entertain
02-09-2016 10:54,10:54:00 AM,02-09-2016 11:07,05:05:00 AM,Personal,02:05:00 PM,Whitebridge,Northwoods,5.3,
02-09-2016 11:43,11:43:00 AM,02-09-2016 11:50,06:05:00 AM,Personal,06:11:00 PM,Northwoods,Tanglewood,3,
02-09-2016 13:36,01:36:00 PM,02-09-2016 13:52,07:05:00 AM,Personal,06:22:00 PM,Tanglewood,Preston,5.1,
02-09-2016 13:58,01:58:00 PM,02-09-2016 14:02,08:05:00 AM,Personal,05:29:00 PM,Preston,Whitebridge,1.5,
02-09-2016 18:55,06:55:00 PM,02-09-2016 19:11,09:05:00 AM,Business,06:07:00 PM,Cary,Morrisville,6.1,
02-09-2016 20:24,08:24:00 PM,02-09-2016 20:40,10:05:00 AM,Business,02:10:00 PM,Morrisville,Cary,6.1,Meal/Entertain
02-11-2016 16:28,04:28:00 PM,02-11-2016 17:10,11:05:00 AM,Business,01:41:00 PM,Cary,Raleigh,17.3,Meal/Entertain
02-11-2016 17:49,05:49:00 PM,02-11-2016 18:10,12:05:00 PM,Business,06:37:00 PM,Eastgate,Walnut Terrace,5.7,Meal/Entertain
02-11-2016 18:24,06:24:00 PM,02-11-2016 18:46,01:05:00 PM,Business,06:16:00 PM,Raleigh,Morrisville,13.5,Temporary Site
02-11-2016 20:36,08:36:00 PM,02-11-2016 20:51,02:05:00 PM,Business,06:41:00 PM,Morrisville,Cary,6.1,Temporary Site
02-12-2016 08:21,08:21:00 AM,02-12-2016 08:42,03:05:00 PM,Business,05:29:00 PM,Cary,Durham,8.5,Temporary Site
02-12-2016 10:45,10:45:00 AM,02-12-2016 10:52,04:05:00 PM,Business,06:44:00 AM,Durham,Morrisville,2.6,Temporary Site
02-12-2016 11:14,11:14:00 AM,02-12-2016 11:35,05:05:00 PM,Business,05:20:00 AM,Morrisville,Raleigh,17,Customer Visit
02-12-2016 13:02,01:02:00 PM,02-12-2016 13:36,06:05:00 PM,Business,05:51:00 AM,Raleigh,Cary,18,Meeting
02-12-2016 14:49,02:49:00 PM,02-12-2016 15:06,07:05:00 PM,Business,05:03:00 AM,Cary,Morrisville,8.4,Meeting
02-12-2016 15:33,03:33:00 PM,02-12-2016 16:06,08:05:00 PM,Business,04:16:00 AM,Morrisville,Cary,11.5,Customer Visit
13-02-2016,02:21:00 PM,2/13/2016 14:41,09:05:00 PM,Business,04:32:00 AM,Cary,Morrisville,8.9,Meeting
13-02-2016,11:45:00 PM,2/14/2016 0:01,10:05:00 PM,Personal,06:44:00 AM,East Elmhurst,Jackson Heights,2.7,
14-02-2016,12:50:00 AM,2/14/2016 1:00,11:05:00 PM,Personal,10:20:00 PM,Jackson Heights,East Elmhurst,1.8,
14-02-2016,02:07:00 PM,2/14/2016 14:40,12:05:00 AM,Business,10:15:00 PM,East Elmhurst,New York,8.1,Meeting
14-02-2016,02:46:00 PM,2/14/2016 15:03,01:05:00 AM,Business,09:58:00 AM,Midtown,Midtown West,2,Meeting
14-02-2016,04:35:00 PM,2/14/2016 17:02,02:05:00 AM,Business,10:19:00 AM,New York,Long Island City,13,Meeting
14-02-2016,05:06:00 PM,2/14/2016 17:29,03:05:00 AM,Business,09:30:00 AM,Long Island City,Jamaica,13.9,Meeting
16-02-2016,03:21:00 AM,2/16/2016 4:13,04:05:00 AM,Business,09:59:00 AM,Katunayaka,Unknown Location,43.7,Customer Visit
16-02-2016,08:29:00 AM,2/16/2016 9:34,05:05:00 AM,Business,12:44:00 AM,Unknown Location,Colombo,14.1,
16-02-2016,10:31:00 AM,2/16/2016 10:41,06:05:00 AM,Business,08:36:00 PM,Colombo,Colombo,2.6,
16-02-2016,11:32:00 AM,2/16/2016 12:02,07:05:00 AM,Business,07:34:00 PM,Colombo,Colombo,4.5,
16-02-2016,12:39:00 PM,2/16/2016 12:42,08:05:00 AM,Business,07:33:00 PM,Colombo,Colombo,1.7,
16-02-2016,01:43:00 PM,2/16/2016 13:55,09:05:00 AM,Business,07:26:00 PM,Colombo,Colombo,1.8,Temporary Site
16-02-2016,04:34:00 PM,2/16/2016 17:10,10:05:00 AM,Business,07:22:00 PM,Colombo,Colombo,6,
16-02-2016,05:17:00 PM,2/16/2016 17:26,11:05:00 AM,Business,05:31:00 PM,Colombo,Nugegoda,1.1,Meal/Entertain
16-02-2016,05:40:00 PM,2/16/2016 17:44,12:05:00 PM,Business,05:48:00 PM,Nugegoda,Unknown Location,3.6,Errand/Supplies
17-02-2016,01:18:00 PM,2/17/2016 14:04,01:05:00 PM,Business,06:25:00 PM,Unknown Location,Colombo,14.7,Temporary Site
17-02-2016,03:17:00 PM,2/17/2016 15:22,02:05:00 PM,Business,11:47:00 PM,Colombo,Colombo,1.7,Meal/Entertain
17-02-2016,03:33:00 PM,2/17/2016 16:17,03:05:00 PM,Business,10:48:00 PM,Colombo,Katunayaka,21.4,Temporary Site
17-02-2016,04:38:00 PM,2/17/2016 16:43,04:05:00 PM,Business,11:32:00 PM,Katunayaka,Katunayaka,0.5,Errand/Supplies
18-02-2016,08:19:00 AM,2/18/2016 8:27,05:05:00 PM,Business,11:27:00 PM,Unknown Location,Unknown Location,23.5,Temporary Site
18-02-2016,02:03:00 PM,2/18/2016 14:45,06:05:00 PM,Business,08:46:00 AM,Unknown Location,Islamabad,12.7,Temporary Site
18-02-2016,03:16:00 PM,2/18/2016 15:31,07:05:00 PM,Business,04:02:00 AM,Islamabad,Unknown Location,6,Temporary Site
18-02-2016,06:44:00 PM,2/18/2016 18:58,08:05:00 PM,Business,03:49:00 AM,Unknown Location,Islamabad,5.2,Customer Visit
18-02-2016,07:27:00 PM,2/18/2016 20:08,09:05:00 PM,Business,01:21:00 AM,Islamabad,Unknown Location,10,Meeting
19-02-2016,09:02:00 AM,2/19/2016 9:14,10:05:00 PM,Business,01:38:00 AM,Unknown Location,Unknown Location,18.3,Meeting
19-02-2016,09:21:00 AM,2/19/2016 9:51,11:05:00 PM,Business,01:03:00 PM,Unknown Location,Unknown Location,11.2,Meeting
19-02-2016,10:21:00 AM,2/19/2016 10:48,12:05:00 AM,Business,01:44:00 PM,Unknown Location,Islamabad,7.6,Meeting
19-02-2016,11:20:00 AM,2/19/2016 11:26,01:05:00 AM,Personal,01:44:00 PM,Islamabad,Islamabad,1.5,
19-02-2016,11:45:00 AM,2/19/2016 11:50,02:05:00 AM,Personal,01:45:00 PM,Islamabad,Islamabad,1,
19-02-2016,12:09:00 PM,2/19/2016 12:27,03:05:00 AM,Business,02:20:00 PM,Islamabad,Unknown Location,7.3,Temporary Site
19-02-2016,04:26:00 PM,2/19/2016 16:45,04:05:00 AM,Business,02:56:00 PM,Unknown Location,Islamabad,3.5,
19-02-2016,05:09:00 PM,2/19/2016 17:20,05:05:00 AM,Business,11:39:00 AM,Islamabad,Islamabad,4.2,
19-02-2016,08:08:00 PM,2/19/2016 20:30,06:05:00 AM,Personal,11:56:00 AM,Islamabad,Unknown Location,13.6,
19-02-2016,08:34:00 PM,2/19/2016 20:51,07:05:00 AM,Personal,09:57:00 AM,Unknown Location,Unknown Location,2.5,
20-02-2016,07:59:00 AM,2/20/2016 8:32,08:05:00 AM,Personal,10:31:00 AM,Unknown Location,Islamabad,14.4,
20-02-2016,10:48:00 AM,2/20/2016 10:56,09:05:00 AM,Personal,12:06:00 AM,Islamabad,Islamabad,3,
20-02-2016,11:45:00 AM,2/20/2016 11:53,10:05:00 AM,Personal,10:17:00 PM,Islamabad,Islamabad,1.5,
20-02-2016,12:41:00 PM,2/20/2016 13:17,11:05:00 AM,Business,10:20:00 PM,Islamabad,R?walpindi,18.4,
20-02-2016,02:50:00 PM,2/20/2016 15:54,12:05:00 PM,Business,10:24:00 PM,R?walpindi,R?walpindi,23.1,Meeting
20-02-2016,04:59:00 PM,2/20/2016 17:54,01:05:00 PM,Personal,09:15:00 PM,R?walpindi,Unknown Location,16.5,
20-02-2016,06:00:00 PM,2/20/2016 18:03,02:05:00 PM,Business,08:06:00 PM,Unknown Location,Unknown Location,3.2,Errand/Supplies
20-02-2016,07:28:00 PM,2/20/2016 19:49,03:05:00 PM,Business,08:05:00 PM,Unknown Location,Unknown Location,7.7,Errand/Supplies
21-02-2016,09:07:00 AM,2/21/2016 9:46,04:05:00 PM,Business,07:37:00 PM,Unknown Location,Islamabad,14.5,
21-02-2016,11:39:00 AM,2/21/2016 11:43,05:05:00 PM,Business,06:58:00 AM,Unknown Location,Islamabad,2.4,Errand/Supplies
21-02-2016,11:47:00 AM,2/21/2016 12:01,06:05:00 PM,Business,05:26:00 AM,Islamabad,Islamabad,4.6,Errand/Supplies
21-02-2016,12:13:00 PM,2/21/2016 12:35,07:05:00 PM,Business,06:18:00 AM,Islamabad,Unknown Location,8.8,Meal/Entertain
21-02-2016,12:51:00 PM,2/21/2016 13:12,08:05:00 PM,Business,06:52:00 AM,Unknown Location,Unknown Location,8.3,Temporary Site
21-02-2016,01:33:00 PM,2/21/2016 14:30,09:05:00 PM,Business,07:14:00 AM,Unknown Location,Unknown Location,22.7,Temporary Site
21-02-2016,02:36:00 PM,2/21/2016 15:03,10:05:00 PM,Business,07:32:00 AM,Unknown Location,Islamabad,13,Temporary Site
21-02-2016,03:14:00 PM,2/21/2016 15:31,11:05:00 PM,Business,07:29:00 AM,Islamabad,Noorpur Shahan,8.1,Temporary Site
21-02-2016,03:36:00 PM,2/21/2016 15:41,12:05:00 AM,Business,07:51:00 AM,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain
21-02-2016,04:04:00 PM,2/21/2016 16:32,01:05:00 AM,Business,08:29:00 AM,Unknown Location,Unknown Location,9.7,
21-02-2016,11:15:00 PM,2/21/2016 23:52,02:05:00 AM,Business,09:01:00 AM,Unknown Location,R?walpindi,20,Meeting
22-02-2016,09:54:00 PM,2/22/2016 22:09,03:05:00 AM,Business,02:50:00 AM,Morrisville,Cary,8.1,Customer Visit
24-02-2016,02:30:00 PM,2/24/2016 14:35,04:05:00 AM,Business,05:11:00 AM,Whitebridge,Preston,1.5,
24-02-2016,03:19:00 PM,2/24/2016 15:25,05:05:00 AM,Business,01:35:00 PM,Preston,Whitebridge,1.7,Errand/Supplies
25-02-2016,04:27:00 PM,2/25/2016 16:35,06:05:00 AM,Business,01:46:00 PM,Whitebridge,Heritage Pines,3.1,Errand/Supplies
25-02-2016,04:47:00 PM,2/25/2016 17:02,07:05:00 AM,Business,01:38:00 PM,Heritage Pines,Whitebridge,3.2,Errand/Supplies
25-02-2016,05:16:00 PM,2/25/2016 17:36,08:05:00 AM,Business,02:18:00 PM,Whitebridge,Tanglewood,6,Meal/Entertain
25-02-2016,06:22:00 PM,2/25/2016 18:39,09:05:00 AM,Business,02:49:00 PM,Tanglewood,Whitebridge,5.8,Meal/Entertain
26-02-2016,09:06:00 AM,2/26/2016 9:29,10:05:00 AM,Business,02:43:00 PM,Whitebridge,Westpark Place,6.3,
26-02-2016,11:05:00 AM,2/26/2016 11:11,11:05:00 AM,Personal,12:59:00 AM,Westpark Place,Whitebridge,1.7,
26-02-2016,11:35:00 AM,2/26/2016 11:59,12:05:00 PM,Business,12:00:00 AM,Cary,Durham,10.6,Meeting
26-02-2016,01:01:00 PM,2/26/2016 13:24,01:05:00 PM,Business,12:30:00 AM,Durham,Cary,9.9,Meeting
26-02-2016,02:38:00 PM,2/26/2016 14:46,02:05:00 PM,Personal,12:04:00 AM,Whitebridge,Westpark Place,1.9,
26-02-2016,03:00:00 PM,2/26/2016 15:18,03:05:00 PM,Personal,11:27:00 PM,Westpark Place,Hazelwood,4.2,
26-02-2016,05:01:00 PM,2/26/2016 17:12,04:05:00 PM,Personal,12:05:00 AM,Hazelwood,Whitebridge,2,
28-02-2016,05:22:00 AM,2/28/2016 5:38,05:05:00 PM,Business,11:04:00 PM,Whitebridge,Waverly Place,7.7,Meeting
28-02-2016,09:26:00 AM,2/28/2016 9:42,06:05:00 PM,Business,11:43:00 AM,Waverly Place,Whitebridge,6.8,Meeting
29-02-2016,11:07:00 AM,2/29/2016 11:14,07:05:00 PM,Personal,08:39:00 AM,Whitebridge,Westpark Place,2.1,
29-02-2016,11:30:00 AM,2/29/2016 11:40,08:05:00 PM,Business,07:58:00 AM,Cary,Apex,3.8,Meeting
29-02-2016,12:36:00 PM,2/29/2016 12:48,09:05:00 PM,Business,08:35:00 AM,Apex,Cary,5.6,Meeting
29-02-2016,02:55:00 PM,2/29/2016 15:03,10:05:00 PM,Business,08:29:00 AM,Whitebridge,Hazelwood,2.6,
29-02-2016,04:40:00 PM,2/29/2016 17:00,11:05:00 PM,Business,07:10:00 AM,Hazelwood,Whitebridge,6.6,Customer Visit
03-01-2016 18:47,06:47:00 PM,03-01-2016 19:10,12:05:00 AM,Business,06:25:00 AM,Whitebridge,Wayne Ridge,8,Meal/Entertain
03-01-2016 21:27,09:27:00 PM,03-01-2016 21:45,01:05:00 AM,Business,05:18:00 AM,Wayne Ridge,Whitebridge,8,Meeting
03-03-2016 09:45,09:45:00 AM,03-03-2016 09:52,02:05:00 AM,Personal,03:38:00 AM,Whitebridge,Westpark Place,2.2,
03-03-2016 11:04,11:04:00 AM,03-03-2016 11:10,03:05:00 AM,Business,04:20:00 PM,Westpark Place,Whitebridge,2.3,Errand/Supplies
03-03-2016 14:44,02:44:00 PM,03-03-2016 14:58,04:05:00 AM,Business,04:01:00 PM,Whitebridge,Northwoods,5.2,Meal/Entertain
03-03-2016 15:27,03:27:00 PM,03-03-2016 15:48,05:05:00 AM,Business,01:21:00 PM,Cary,Raleigh,7.6,Customer Visit
03-03-2016 16:02,04:02:00 PM,03-03-2016 16:42,06:05:00 AM,Business,01:38:00 PM,Raleigh,Cary,17.3,Meeting
03-04-2016 07:47,07:47:00 AM,03-04-2016 08:06,07:05:00 AM,Business,02:03:00 PM,Cary,Durham,9.9,Meeting
03-04-2016 09:46,09:46:00 AM,03-04-2016 10:03,08:05:00 AM,Business,11:18:00 PM,Durham,Cary,9.9,Customer Visit
03-04-2016 11:46,11:46:00 AM,03-04-2016 12:06,09:05:00 AM,Business,10:19:00 PM,Cary,Durham,10.4,Meeting
03-04-2016 13:03,01:03:00 PM,03-04-2016 13:25,10:05:00 AM,Business,09:19:00 PM,Durham,Cary,10.9,Meeting
03-04-2016 13:40,01:40:00 PM,03-04-2016 14:09,11:05:00 AM,Business,09:02:00 PM,Cary,Raleigh,15.7,Customer Visit
03-04-2016 15:56,03:56:00 PM,03-04-2016 16:08,12:05:00 PM,Business,09:25:00 PM,Raleigh,Raleigh,4.9,Meal/Entertain
03-04-2016 16:16,04:16:00 PM,03-04-2016 16:22,01:05:00 PM,Business,08:09:00 PM,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies
03-04-2016 16:43,04:43:00 PM,03-04-2016 17:12,02:05:00 PM,Business,08:49:00 PM,Raleigh,Cary,13.5,Meeting
03-04-2016 19:02,07:02:00 PM,03-04-2016 19:08,03:05:00 PM,Business,09:22:00 PM,Cary,Morrisville,1.9,Temporary Site
03-04-2016 19:16,07:16:00 PM,03-04-2016 19:25,04:05:00 PM,Business,08:03:00 PM,Morrisville,Cary,2,Meal/Entertain
03-05-2016 11:44,11:44:00 AM,03-05-2016 11:59,05:05:00 PM,Business,08:49:00 PM,Cary,Morrisville,6.5,Meal/Entertain
03-05-2016 12:57,12:57:00 PM,03-05-2016 13:12,06:05:00 PM,Personal,05:21:00 AM,Weston,Weston,4.2,
03-05-2016 14:08,02:08:00 PM,03-05-2016 14:18,07:05:00 PM,Personal,05:08:00 AM,Morrisville,Cary,3.5,
03-05-2016 14:39,02:39:00 PM,03-05-2016 15:01,08:05:00 PM,Business,04:57:00 AM,Whitebridge,Wayne Ridge,7.8,Meal/Entertain
